datestring,total_extracted,number_extract_points,average_exhaustion,average_sA,average_percent_extracted_per_point,date,pA,pB,pD,pC
20150404,30436.0,173.0,67.93909715131642,0.17988789930877908,0.5780346820809252,4/4/2015,0.165,2.0069999999999997,0.019,
20150405,37248.0,179.0,61.41970089601986,0.18298036588998068,0.558659217877095,4/5/2015,0.184,1.945,0.02,
20150406,35735.0,156.0,69.89580689439119,0.18117029543903734,0.6410256410256406,4/6/2015,0.192,1.798,0.02,
20150407,33426.0,146.0,67.31738230033079,0.1803666160566924,0.6849315068493151,4/7/2015,0.18899999999999997,1.9140000000000001,0.021,
20150408,29088.0,158.0,73.00284448951057,0.17862603742086083,0.6329113924050634,4/8/2015,0.205,1.98,0.02,
20150409,27587.0,130.0,70.00923562429533,0.17421267884351324,0.7692307692307695,4/9/2015,0.18600000000000003,2.046,0.023,
20150414,22164.0,145.0,61.95471952335622,0.1799840384251489,0.6896551724137925,4/14/2015,0.17300000000000001,1.689,0.013999999999999999,
20150415,40645.0,187.0,73.09348268563609,0.17424362913300528,0.5347593582887692,4/15/2015,0.196,2.06,0.023,
20150416,40198.0,145.0,72.16488217095119,0.1823302712030947,0.6896551724137927,4/16/2015,0.191,2.0709999999999997,0.022000000000000002,
20150417,35062.0,123.0,77.42527829323453,0.1797015195540186,0.8130081300813005,4/17/2015,0.174,1.966,0.017,
20150418,38326.0,152.0,75.92631072465448,0.17696124763262538,0.6578947368421051,4/18/2015,0.192,2.1069999999999998,0.018000000000000002,
20150419,37616.0,143.0,75.00926723398109,0.17572704698965863,0.6993006993006988,4/19/2015,0.187,2.1,0.018000000000000002,
20150420,32269.0,152.0,65.84491301837983,0.1764607952253556,0.6578947368421054,4/20/2015,0.184,2.08,0.013999999999999999,
20150421,38221.0,179.0,68.44234916511908,0.1803203389608069,0.5586592178770945,4/21/2015,0.19,2.065,0.019,
20150422,33838.0,160.0,63.95559084296577,0.17953953481665585,0.625,4/22/2015,0.183,1.93,0.021,
20150423,35751.0,133.0,78.85222233189319,0.1765050383436827,0.7518796992481199,4/23/2015,0.179,1.805,0.022000000000000002,
